Iteration	Replicate_ID	Posterior	Likelihood	Prior	clock_rate[1]	clock_rate[2]	clock_rate[3]	clock_rate[4]	extinction	kappa[1]	kappa[2]	kappa[3]	kappa[4]	Ne[1]	Ne[2]	Ne[3]	Ne[4]	Ne[5]	Ne[6]	Ne[7]	Ne[8]	Ne[9]	Ne[10]	Ne[11]	Ne[12]	Ne[13]	Ne[14]	Ne[15]	Ne[16]	Ne[17]	Ne[18]	Ne[19]	relativeExtinction	root	speciation
46	0	-3052.09	-2841.59	-210.5	0.000130528	0.000537235	0.00032728	0.000401353	0.1456424	2.31312	4.11317	1.77515	1.32192	10	10	10	10	10	10	10	10	10	10	18.1868	150.151	34.8678	122.196	19.31	14.2212	152.715	33.1627	11.4195	0.2321368	8.272924	0.6273991
47	0	-3048	-2839.37	-208.633	0.00019884	0.000308982	0.00043876	0.000510283	0.1443143	2.16574	1.91128	2.01889	1.40397	10	10	10	10	10	10	10	10	10	10	10.5527	103.042	25.8345	58.7714	26.8876	49.2036	235.379	32.4135	10.0784	0.3234589	8.272924	0.4461597
48	0	-3053.36	-2844.3	-209.062	0.000222111	0.000474129	0.00047584	0.000669249	1.071918	3.28712	2.7012	1.75573	1.21238	10	10	10	10	10	10	10	10	10	10	16.246	111.22	50.335	79.2426	43.0102	46.3475	136.524	30.9977	9.69633	0.8195777	8.272924	1.30789
49	0	-3039.74	-2844.76	-194.977	0.000211637	0.00045572	0.000736382	0.000688411	0.1031706	1.92111	2.48	1.3085	1.51055	10	10	10	10	10	10	10	10	10	10	20.8188	33.8234	31.6646	24.1781	20.4902	36.8962	73.0858	15.4874	7.30904	0.2556062	8.272924	0.4036311
50	0	-3036.94	-2846.26	-190.678	0.000173716	0.000503989	0.00043823	0.000668785	0.4025783	1.84489	0.738321	1.22534	1.03107	10	10	10	10	10	10	10	10	10	10	58.922	40.5445	43.3524	69.8892	55.2572	73.1133	39.2761	18.2371	5.76765	0.5551447	8.272924	0.7251773
51	0	-3049.48	-2846.15	-203.33	9.42373e-05	0.0004925	0.000465658	0.000696699	0.1694681	2.41461	2.20191	1.21647	1.97341	10	10	10	10	10	10	10	10	10	10	29.7563	38.5095	143.853	69.7497	14.5658	95.8611	47.5258	49.9135	9.64334	0.309276	8.272924	0.5479509
52	0	-3063.01	-2854.13	-208.873	0.000231041	0.000530924	0.000429367	0.000525628	0.09526998	1.36754	2.03464	2.58305	1.05951	10	10	10	10	10	10	10	10	10	10	26.364	129.895	220.564	32.262	15.5195	99.7735	37.8612	29.1309	11.0039	0.2566985	8.272924	0.3711358
53	0	-3055.3	-2848.14	-207.159	0.000236559	0.000293968	0.000537483	0.000824526	0.2137754	4.49814	3.09384	2.14243	1.74928	10	10	10	10	10	10	10	10	10	10	15.1226	330.939	153.521	28.9467	7.70388	43.5516	28.4875	32.6234	10.95	0.7301464	8.272924	0.2927844
54	0	-3049	-2849.13	-199.869	0.000267767	0.000335432	0.000666454	0.00051204	0.6362086	3.11536	2.96762	0.744418	1.19247	10	10	10	10	10	10	10	10	10	10	8.76182	265.559	103.536	54.9681	9.7709	42.2447	29.9055	32.9285	10.2289	0.7482217	8.272924	0.8502942
55	0	-3046.11	-2847.61	-198.499	0.00023948	0.000226775	0.000346308	0.000689861	0.0478025	2.72544	1.36243	2.16061	1.69927	10	10	10	10	10	10	10	10	10	10	5.49499	235.729	111.269	79.0784	35.6524	66.3565	36.0384	30.7413	8.24275	0.08413234	8.272924	0.5681822
56	0	-3048.08	-2845.57	-202.507	0.000194617	0.000387227	0.00073338	0.000750878	0.5197664	1.02518	2.9956	1.07111	2.29875	10	10	10	10	10	10	10	10	10	10	7.82337	325.269	73.7642	72.6477	51.4238	64.8899	33.8582	25.522	6.50124	0.734093	8.272924	0.7080389
57	0	-3038.07	-2845.06	-193.012	0.000108605	0.000420482	0.000474382	0.00103025	0.04115449	1.16806	3.30524	1.01304	0.89039	10	10	10	10	10	10	10	10	10	10	10.5265	110.948	117.831	158.272	133.236	23.1983	43.262	27.3873	5.28475	0.08977492	8.272924	0.4584186
58	0	-3053.22	-2851.62	-201.609	0.000162585	0.000385378	0.000721148	0.000811784	0.02347482	2.19204	1.69522	1.71304	1.31601	10	10	10	10	10	10	10	10	10	10	8.21476	91.7559	218.628	192.457	112.873	12.3587	31.0537	22.4166	6.99536	0.03694146	8.272924	0.6354601
59	0	-3039.57	-2844.55	-195.019	0.000237888	0.00037475	0.000359746	0.000699964	0.1492979	4.11279	1.70921	1.24589	1.74633	10	10	10	10	10	10	10	10	10	10	3.95692	85.6774	240.549	70.0012	108.6	8.49569	16.4734	36.5794	8.74274	0.2936812	8.272924	0.5083673
